CleRegle;NomRegle;Severite;NomLangage;TypeRegle;Etiquette
objc:S5283;Size of variable length arrays should be positive;CRITICAL;Objective-C;CODE_SMELL;{suspicious}
objc:S978;Reserved identifiers and functions in the standard library should not be defined or declared;BLOCKER;Objective-C;CODE_SMELL;{bad-practice,based-on-misra,cert}
objc:S977;Lines starting with # should contain valid preprocessing directives;MAJOR;Objective-C;BUG;{based-on-misra,preprocessor}
objc:S856;Object pointers should only be converted to other object pointers, integral types or void pointers;MAJOR;Objective-C;BUG;{based-on-misra}
objc:GotoLabelInNestedBlock;goto statements should not be used to jump into blocks;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,brain-overload,pitfall}
objc:S946;The address of an automatic object should not be assigned to another object that may persist after the first object has ceased t;BLOCKER;Objective-C;BUG;{based-on-misra,cert}
objc:S1172;Unused function parameters should be removed;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert,unused}
objc:AssignmentInSubExpression;Assignments should not be made from within sub-expressions;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert,cwe,suspicious}
objc:S820;Object and function types should be explicitly stated in their declarations and definitions;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S943;Object declarations should contain no more than 2 levels of pointer indirection;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,brain-overload,pitfall}
objc:GlobalMainFunction;The name main should not be used for any function other than the global main function;BLOCKER;Objective-C;CODE_SMELL;{misra-c++2008,pitfall}
objc:S824;Functions should not be declared at block scope;MAJOR;Objective-C;CODE_SMELL;{misra-c++2008,misra-c2004}
objc:S1065;Unused labels should be removed;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert,unused}
objc:S2275;Printf-style format strings should not lead to unexpected behavior at runtime;BLOCKER;Objective-C;BUG;{cert,pitfall}
objc:S5308;Return value of setuid family of functions should always be checked;CRITICAL;Objective-C;CODE_SMELL;{}
objc:LiteralSuffix;Literal suffixes shall be upper case;MINOR;Objective-C;CODE_SMELL;{based-on-misra,cert,convention,pitfall}
objc:PPDefineOrUndefFromBlock;Macros should not be #define'd or #undef'd within a block;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:S950;Structure and union types should be complete at the end of a translation unit;MINOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S2393;The <stdlib.h> functions bsearch and qsort should not be used;MAJOR;Objective-C;BUG;{based-on-misra,unpredictable}
objc:S834;Array declarations should include an explicit size specification;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S835;Braces should be used to indicate and match the structure in the non-zero initialization of arrays and structures;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S3457;Printf-style format strings should be used correctly;MAJOR;Objective-C;CODE_SMELL;{cert,confusing}
objc:S1036;Control should not be transferred into a complex logic block using a goto or a switch statement;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,cert,lock-in,pitfall}
objc:S2486;Exceptions should not be ignored;CRITICAL;Objective-C;VULNERABILITY;{cwe,error-handling,owasp-a10,suspicious}
objc:S1836;restrict should not be used;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:DigraphUsage;Digraphs should not be used;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,obsolete}
objc:S1831;static should not be used for the size of an array parameter;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:PPIncludeTime;<time.h> should not be used;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,lock-in}
objc:S925;Recursion should not be used;CRITICAL;Objective-C;CODE_SMELL;{bad-practice,based-on-misra,pitfall}
objc:CommentedCode;Sections of code should not be commented out;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,unused}
objc:S926;Parameters in a function prototype should be named;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S929;Functions without parameters should be declared with parameter type void;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert,pitfall}
objc:S127;for loop stop conditions should be invariant;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:S920;Switch statement conditions should not have essentially boolean type;MINOR;Objective-C;CODE_SMELL;{misra-c++2008,misra-c2004,misra-c2012}
objc:FunctionEllipsis;Functions should not be defined with a variable number of arguments;CRITICAL;Objective-C;CODE_SMELL;{cert,misra-c++2008,misra-c2004,pitfall}
objc:S802;typedef names should be unique identifiers;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S936;Function names should be used either as a call with a parameter list or with the & operator;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S814;Bit fields should be declared with appropriate types;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert,lock-in}
objc:S935;Function exit paths should have appropriate return values;CRITICAL;Objective-C;BUG;{based-on-misra,cert,cwe}
objc:S819;Functions should be declared explicitly;CRITICAL;Objective-C;CODE_SMELL;{bad-practice,based-on-misra,cert}
objc:S930;The number of arguments passed to a function should match the number of parameters;MAJOR;Objective-C;BUG;{based-on-misra,cert,cwe}
objc:S810;Appropriate char types should be used for character and integer values;MINOR;Objective-C;CODE_SMELL;{based-on-misra,cert,confusing}
objc:S813;typedefs that indicate size and signedness should be used in place of the basic types;MINOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:EllipsisHandlerNotLast;Condition-specific catch handlers should not be used after the ellipsis (catch-all) handler;MAJOR;Objective-C;BUG;{based-on-misra,unused}
objc:IdentifierLongerThan31;Identifiers should not be longer than 31 characters;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S905;Non-empty statements should change control flow or have at least one side-effect;MAJOR;Objective-C;BUG;{based-on-misra,cwe,unused}
objc:S1301;switch statements should have at least 3 case clauses;MINOR;Objective-C;CODE_SMELL;{bad-practice,based-on-misra}
objc:S2753;Values of different enum types should not be compared;MAJOR;Objective-C;BUG;{}
objc:SideEffectInRightHandSideOfLogical;The right-hand operands of && and || should not contain side effects;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S121;Control structures should use curly braces;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert,pitfall}
objc:PPUndefUsage;#undef should not be used;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,brain-overload}
objc:SwitchLabelPlacement;Switch labels should not be nested inside non-switch blocks;BLOCKER;Objective-C;CODE_SMELL;{confusing,misra-c++2008,misra-c2004,misra-c2012}
objc:EnumPartialInitialization;enum members other than the first one should not be explicitly initialized unless all members are explicitly initialized;MAJOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S2193;for loop counters should not have essentially floating type;MINOR;Objective-C;BUG;{based-on-misra,cert}
objc:S2190;Recursion should not be infinite;BLOCKER;Objective-C;BUG;{suspicious}
objc:SingleDeclarationPerStatement;Init-declarator-lists and member-declarator-lists should consist of single init-declarators and member-declarators respectively;MINOR;Objective-C;CODE_SMELL;{based-on-misra,cert,convention}
objc:S1763;Jump statements should not be followed by dead code;MAJOR;Objective-C;BUG;{based-on-misra,cert,cwe,unused}
objc:PPStringifyAndPastingUsage;Preprocessor operators # and ## should not be used;MINOR;Objective-C;CODE_SMELL;{based-on-misra,lock-in}
objc:S1761;Pre-defined macros should not be defined, redefined or undefined;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,preprocessor,suspicious}
objc:S3949;Integral operations should not overflow;MAJOR;Objective-C;BUG;{based-on-misra,cert,misra,misra-c++2008,misra-c2004,misra-c2012,overflow}
objc:S1767;Pointers should not be cast to integral types;CRITICAL;Objective-C;BUG;{based-on-misra,cert}
objc:PPIncludeStdio;<stdio.h> should not be used in production code;CRITICAL;Objective-C;BUG;{based-on-misra,lock-in}
objc:S1081;Insecure functions strcpy, strcat and sprintf should not be used;CRITICAL;Objective-C;VULNERABILITY;{cert,cwe,owasp-a9,sans-top25-risky}
objc:S5259;Header guards should be followed by according #define macro;CRITICAL;Objective-C;CODE_SMELL;{unpredictable}
objc:S1219;switch statements should not contain non-case labels;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,suspicious}
objc:S793;All uses of the #pragma directive should be documented;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S784;Assembly language should be encapsulated and isolated;MAJOR;Objective-C;CODE_SMELL;{misra-c++2008,misra-c2004}
objc:C99CommentUsage;Source code should only use /* ... */ style comments;MINOR;Objective-C;CODE_SMELL;{based-on-misra,convention}
objc:ObsoletePosixFunction;Obsolete POSIX functions should not be used;MAJOR;Objective-C;CODE_SMELL;{cert,obsolete}
objc:S1103;/* and // should not be used within comments;MINOR;Objective-C;CODE_SMELL;{based-on-misra,cert,confusing}
objc:S5267;Functions with noreturn attribute should not return;BLOCKER;Objective-C;BUG;{confusing}
objc:S5266;Keywords shall not be used as macros identifiers;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,pitfall,unpredictable}
objc:PPBadIncludeForm;#include directives should be followed by either <filename> or filename sequences;MAJOR;Objective-C;BUG;{based-on-misra}
objc:S1226;Function parameters should not be reassigned;MINOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:Union;Unions should not be used;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra}
objc:S5263;Logical operators should not be confused with bitwise operators;CRITICAL;Objective-C;CODE_SMELL;{pitfall}
objc:S5262;Dereferenced null pointers should not be bound to references;MAJOR;Objective-C;CODE_SMELL;{unpredictable}
objc:S5261;else statements should be clearly matched with an if;MAJOR;Objective-C;CODE_SMELL;{confusing}
objc:ContinueUsage;continue should not be used;MINOR;Objective-C;CODE_SMELL;{bad-practice,based-on-misra}
objc:PPIncludeNonStandardCharacters;Non-standard characters should not occur in header file names in #include directives;MAJOR;Objective-C;BUG;{based-on-misra}
objc:FunctionSinglePointOfExit;A function should have a single point of exit at the end of the function;MINOR;Objective-C;CODE_SMELL;{based-on-misra,brain-overload}
objc:SwitchWithoutDefault;switch statements should have default clauses;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert,cwe}
objc:PPIncludeNotAtTop;#include directives in a file should only be preceded by other preprocessor directives or comments;MAJOR;Objective-C;CODE_SMELL;{confusing,misra-c++2008,misra-c2004,misra-c2012}
objc:ElseIfWithoutElse;if ... else if constructs should end with else clauses;CRITICAL;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:NonEmptyCaseWithoutBreak;Switch cases should end with an unconditional break statement;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,cert,cwe,suspicious}
objc:S883;Tests of non-Boolean values against zero should be explicit;MINOR;Objective-C;CODE_SMELL;{based-on-misra}
objc:S886;The three expressions of a for statement should only be concerned with loop control;MAJOR;Objective-C;BUG;{based-on-misra}
objc:BackJumpWithGoto;goto should jump to labels declared later in the same function;BLOCKER;Objective-C;CODE_SMELL;{based-on-misra,pitfall}
objc:IncAndDecMixedWithOtherOperators;Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,cert}
objc:S897;Unused type declarations should be removed;MAJOR;Objective-C;CODE_SMELL;{based-on-misra,unused}
abap:S4721;Executing OS commands is security-sensitive;CRITICAL;ABAP;VULNERABILITY;{cwe,owasp-a1,sans-top25-insecure}
abap:S4524;WHEN OTHERS clauses should be last;CRITICAL;ABAP;CODE_SMELL;{based-on-misra}
abap:S2068;Credentials should not be hard-coded;BLOCKER;ABAP;VULNERABILITY;{cert,cwe,owasp-a2,sans-top25-porous}
abap:S1493;SQL SELECT statements should not contain dynamic clauses;BLOCKER;ABAP;VULNERABILITY;{cwe,owasp-a1,sans-top25-insecure,sql}
abap:S108;Nested blocks of code should not be left empty;MAJOR;ABAP;CODE_SMELL;{suspicious}
abap:S1301;CASE statements should have at least 3 WHEN clauses;MINOR;ABAP;CODE_SMELL;{bad-practice,based-on-misra}
abap:S1313;Using hardcoded IP addresses is security-sensitive;MINOR;ABAP;VULNERABILITY;{cert,owasp-a3}
abap:S3776;Cognitive Complexity of functions should not be too high;CRITICAL;ABAP;CODE_SMELL;{brain-overload}
abap:S5117;SY-SUBRC should be checked after an AUTHORITY-CHECK statement;BLOCKER;ABAP;VULNERABILITY;{}
abap:S1511;SY-SUBRC should be tested after each function call with exception handling;CRITICAL;ABAP;CODE_SMELL;{error-handling}
abap:S5118;Standard tables should be searched using BINARY SEARCH;MAJOR;ABAP;CODE_SMELL;{}
abap:S131;CASE statements should have WHEN OTHERS clauses;CRITICAL;ABAP;CODE_SMELL;{based-on-misra,cert,cwe}
abap:S5115;Authorization checks should not rely on hardcoded user properties;CRITICAL;ABAP;VULNERABILITY;{}
abap:S1238;Subroutine parameters should be passed by reference rather than by value;MAJOR;ABAP;CODE_SMELL;{performance}
abap:S125;Sections of code should not be commented out;MAJOR;ABAP;CODE_SMELL;{based-on-misra,unused}
abap:S126;IF ... ELSEIF constructs should end with ELSE clauses;CRITICAL;ABAP;CODE_SMELL;{based-on-misra,cert}
abap:S1486;BREAK-POINT statement should not be used in production;MINOR;ABAP;VULNERABILITY;{cwe,owasp-a3}
abap:S2809;Using CALL TRANSACTION statements without an authority check is security-sensitive;CRITICAL;ABAP;VULNERABILITY;{cwe,owasp-a2,sans-top25-porous}
abap:S4790;Hashing data is security-sensitive;CRITICAL;ABAP;VULNERABILITY;{cwe,owasp-a3,owasp-a6,sans-top25-porous,spring}
squid:S2225;toString() and clone() methods should not return null;MAJOR;Java;BUG;{cert,cwe}
squid:S2589;Boolean expressions should not be gratuitous;MAJOR;Java;CODE_SMELL;{based-on-misra,cert,cwe,redundant}
squid:S3436;Value-based classes should not be used for locking;MAJOR;Java;BUG;{java8,lock-in,multi-threading}
squid:S4524;default clauses should be last;CRITICAL;Java;CODE_SMELL;{based-on-misra}
squid:S2583;Conditionally executed blocks should be reachable;MAJOR;Java;BUG;{based-on-misra,cert,cwe,misra,misra-c2004,misra-c2012,pitfall,unused}
squid:S3439;DefaultMessageListenerContainer instances should not drop messages during restarts;MAJOR;Java;BUG;{spring}
squid:S3437;Value-based objects should not be serialized;MINOR;Java;CODE_SMELL;{java8,lock-in,serialization}
squid:S864;Limited dependence should be placed on operator precedence;MAJOR;Java;CODE_SMELL;{based-on-misra,cert,cwe}
squid:S00121;Control structures should use curly braces;CRITICAL;Java;CODE_SMELL;{based-on-misra,cert,pitfall}
squid:S2115;Databases should be password-protected;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a3}
squid:S1148;Throwable.printStackTrace(...) should not be called;MINOR;Java;VULNERABILITY;{cwe,error-handling,owasp-a3}
squid:S1145;Useless if(true) {...} and if(false){...} blocks should be removed;MAJOR;Java;BUG;{cwe,misra,misra-c2004,misra-c2012}
squid:S4530;Using Struts 1 ActionForm is security-sensitive;MAJOR;Java;VULNERABILITY;{cwe,owasp-a1,struts}
squid:S881;Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression;MAJOR;Java;CODE_SMELL;{based-on-misra,cert}
squid:S4531;Using setters in Struts 2 ActionSupport is security-sensitive;MAJOR;Java;VULNERABILITY;{owasp-a1,struts}
squid:S3329;Cypher Block Chaining IV's should be random and unique;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a6}
squid:S2119;Random objects should be reused;CRITICAL;Java;BUG;{owasp-a6}
squid:S3655;Optional value should only be accessed after calling isPresent();MAJOR;Java;BUG;{cwe}
squid:S3776;Cognitive Complexity of methods should not be too high;CRITICAL;Java;CODE_SMELL;{brain-overload}
squid:S2201;Return values from functions without side effects should not be ignored;MAJOR;Java;BUG;{cert,misra-c2012}
squid:S4502;Disabling Spring Security's CSRF protection is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a6,sans-top25-insecure,spring}
squid:S4508;Deserializing objects from an untrusted source is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a8}
squid:S4507;Delivering code in production with debug features activated is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,spring}
squid:S3416;Loggers should be named for their enclosing classes;MINOR;Java;CODE_SMELL;{confusing}
squid:S4512;Setting JavaBean properties is security-sensitive;CRITICAL;Java;VULNERABILITY;{cert,cwe,owasp-a1}
squid:S1244;Floating point numbers should not be tested for equality;MAJOR;Java;BUG;{based-on-misra}
squid:S4510;Deserializing XML from an untrusted source is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a1,owasp-a8}
squid:S4684;Persistent entities should not be used as arguments of @RequestMapping methods;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a5,spring}
squid:S3355;Defined filters should be used;CRITICAL;Java;VULNERABILITY;{owasp-a6}
squid:S1172;Unused method parameters should be removed;MAJOR;Java;CODE_SMELL;{based-on-misra,cert,unused}
squid:S3369;Security constraints should be defined;BLOCKER;Java;VULNERABILITY;{cwe,jee,owasp-a5,websphere}
squid:S5304;Using environment variables is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe}
squid:S2278;Neither DES (Data Encryption Standard) nor DESede (3DES) should be used;BLOCKER;Java;VULNERABILITY;{cert,cwe,owasp-a6,sans-top25-porous}
squid:S5300;Sending emails is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a1,sans-top25-insecure}
squid:S2277;Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding);CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,owasp-a6,sans-top25-porous}
squid:S1065;Unused labels should be removed;MAJOR;Java;CODE_SMELL;{based-on-misra,cert,unused}
squid:S2390;Classes should not access their own subclasses during initialization;CRITICAL;Java;CODE_SMELL;{cert}
squid:S4424;TrustManagers should not blindly accept any certificates;MAJOR;Java;VULNERABILITY;{cert,cwe,owasp-a6}
squid:S4787;Encrypting data is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,owasp-a6,sans-top25-porous}
squid:S4544;Using unsafe Jackson deserialization configuration is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a8}
squid:S4423;Weak SSL protocols should not be used;MAJOR;Java;VULNERABILITY;{cwe,owasp-a3,owasp-a6,sans-top25-porous}
squid:S4426;Cryptographic keys should not be too short;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a3}
squid:S2245;Using pseudorandom number generators (PRNGs) is security-sensitive;CRITICAL;Java;VULNERABILITY;{cert,cwe,owasp-a3}
squid:S3330;HttpOnly should be set on cookies;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a7,sans-top25-insecure}
squid:S4784;Using regular expressions is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a1}
squid:S3331;Cookie domains should be as narrow as possible;CRITICAL;Java;VULNERABILITY;{owasp-a7}
squid:S923;Functions should not be defined with a variable number of arguments;INFO;Java;CODE_SMELL;{cert,misra-c++2008,misra-c2004,pitfall}
squid:S4435;XML transformers should be secured;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a4}
squid:S2258;javax.crypto.NullCipher should not be used for anything other than testing;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a6,sans-top25-porous}
squid:S4434;LDAP deserialization should be disabled;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a8}
squid:S2257;Using non-standard cryptographic algorithms is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,sans-top25-porous}
squid:S2254;HttpServletRequest.getRequestedSessionId() should not be used;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a2,sans-top25-porous}
squid:S1166;Exception handlers should preserve the original exceptions;MAJOR;Java;CODE_SMELL;{cert,cwe,error-handling,owasp-a10,suspicious}
squid:S2255;Using cookies is security-sensitive;MINOR;Java;VULNERABILITY;{cert,cwe,owasp-a3,sans-top25-porous}
squid:S4433;LDAP connections should be authenticated;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a2}
squid:S4432;AES encryption algorithm should be used with secured mode;CRITICAL;Java;VULNERABILITY;{cert,cwe,owasp-a6,sans-top25-porous}
squid:S818;Literal suffixes should be upper case;MINOR;Java;CODE_SMELL;{based-on-misra,cert,convention,pitfall}
squid:S4790;Hashing data is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,owasp-a6,sans-top25-porous,spring}
squid:S4792;Configuring loggers is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a10,owasp-a3,sans-top25-porous}
squid:AssignmentInSubExpressionCheck;Assignments should not be made from within sub-expressions;MAJOR;Java;CODE_SMELL;{based-on-misra,cert,cwe,suspicious}
squid:S1659;Multiple variables should not be declared on the same line;MINOR;Java;CODE_SMELL;{based-on-misra,cert,convention}
squid:S1301;switch statements should have at least 3 case clauses;MINOR;Java;CODE_SMELL;{bad-practice,based-on-misra}
squid:S2638;Method overrides should not change contracts;CRITICAL;Java;CODE_SMELL;{suspicious}
squid:S4818;Using Sockets is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a3,sans-top25-porous,sans-top25-risky}
squid:S2755;Untrusted XML should be parsed with a local, static DTD;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a4}
squid:CommentedOutCodeLine;Sections of code should not be commented out;MAJOR;Java;CODE_SMELL;{based-on-misra,unused}
squid:S2976;File.createTempFile should not be used to create a directory;CRITICAL;Java;VULNERABILITY;{owasp-a9}
squid:S3510;HostnameVerifier.verify should not always return true;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a6}
squid:S3752;@RequestMapping methods should specify HTTP method;BLOCKER;Java;VULNERABILITY;{cwe,owasp-a6,sans-top25-insecure,spring}
squid:S4601;HttpSecurity URL patterns should be correctly ordered;CRITICAL;Java;VULNERABILITY;{owasp-a6,spring}
squid:S3751;@RequestMapping methods should be public;BLOCKER;Java;VULNERABILITY;{owasp-a6,spring}
squid:S1219;switch statements should not contain non-case labels;BLOCKER;Java;CODE_SMELL;{based-on-misra,suspicious}
squid:S1226;Method parameters, caught exceptions and foreach variables' initial values should not be ignored;MINOR;Java;BUG;{based-on-misra}
squid:ForLoopCounterChangedCheck;for loop stop conditions should be invariant;MAJOR;Java;CODE_SMELL;{based-on-misra,pitfall}
squid:S1313;Using hardcoded IP addresses is security-sensitive;MINOR;Java;VULNERABILITY;{cert,owasp-a3}
squid:S4829;Reading the Standard Input is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe}
squid:S2647;Basic authentication should not be used;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a6,sans-top25-porous}
squid:S4823;Using command line arguments is security-sensitive;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a1,sans-top25-insecure}
squid:S2653;Web applications should not have a main method;CRITICAL;Java;VULNERABILITY;{cert,cwe,jee,owasp-a3}
squid:S3749;Members of Spring components should be injected;CRITICAL;Java;VULNERABILITY;{owasp-a3,spring}
squid:S2658;Classes should not be loaded dynamically;CRITICAL;Java;VULNERABILITY;{cwe,owasp-a1}
squid:S4834;Controlling permissions is security-sensitive;CRITICAL;Java;VULNERABILITY;{owasp-a5,sans-top25-porous}
squid:S1948;Fields in a Serializable class should either be transient or serializable;CRITICAL;Java;CODE_SMELL;{cwe,serialization}
